,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,res_room_typeR,assn_room_typeR,cust_typeR,res_statusR,hotelR,arrival_date_monthR,mealR,deposit_typeR,market_segmentR,dist_channelR,countryR
17,1.0,123.0,2015.0,29.0,18.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,157.0,0.0,2.0,4,4.0,2,1,1,6.0,0,0,0,0,1
65,0.0,123.0,2015.0,30.0,19.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,240.0,0.0,130.5,0.0,1.0,4,4.0,2,0,1,6.0,0,0,0,0,2
70,0.0,79.0,2015.0,30.0,20.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,115.0,0.0,3.0,0,2.0,2,0,1,6.0,0,0,0,0,1
86,0.0,82.0,2015.0,30.0,20.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,152.43,0.0,3.0,0,0.0,2,0,1,6.0,1,0,0,0,1
389,1.0,131.0,2015.0,32.0,3.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,177.0,0.0,119.7,0.0,1.0,0,0.0,2,1,1,7.0,1,0,1,0,1
419,0.0,84.0,2015.0,32.0,5.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,168.71,0.0,3.0,0,0.0,2,0,1,7.0,1,0,0,0,1
451,0.0,116.0,2015.0,32.0,7.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,133.5,1.0,2.0,2,2.0,2,0,1,7.0,0,0,1,0,1
475,0.0,126.0,2015.0,32.0,8.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,261.0,0.0,133.0,1.0,2.0,0,0.0,2,0,1,7.0,1,0,1,0,1
498,0.0,81.0,2015.0,33.0,9.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,277.0,1.0,1.0,2,2.0,2,0,1,7.0,3,0,3,1,2
524,1.0,101.0,2015.0,33.0,10.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,196.0,0.0,2.0,4,4.0,2,1,1,7.0,1,0,0,0,1
581,0.0,47.0,2015.0,33.0,13.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,242.0,0.0,255.0,0.0,2.0,2,2.0,2,0,1,7.0,1,0,0,0,2
590,0.0,19.0,2015.0,33.0,13.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,242.0,0.0,243.0,0.0,2.0,3,3.0,2,0,1,7.0,1,0,0,0,1
623,1.0,80.0,2015.0,33.0,15.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,208.0,0.0,3.0,4,4.0,2,1,1,7.0,1,0,0,0,1
694,1.0,93.0,2015.0,34.0,17.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,134.0,0.0,2.0,0,0.0,2,1,1,7.0,0,0,0,0,1
746,1.0,95.0,2015.0,34.0,21.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,125.0,0.0,1.0,0,0.0,2,1,1,7.0,0,0,0,0,1
839,1.0,70.0,2015.0,35.0,24.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,196.0,0.0,197.7,0.0,1.0,2,2.0,2,1,1,7.0,3,0,1,0,1
844,1.0,50.0,2015.0,35.0,25.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,200.8,0.0,2.0,0,0.0,2,1,1,7.0,1,0,0,0,1
870,1.0,57.0,2015.0,35.0,27.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,157.67,0.0,3.0,0,0.0,2,1,1,7.0,1,0,0,0,1
871,1.0,57.0,2015.0,35.0,27.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,133.0,0.0,1.0,0,0.0,2,1,1,7.0,1,0,1,0,1
875,1.0,57.0,2015.0,35.0,27.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,133.0,0.0,1.0,0,0.0,2,1,1,7.0,1,0,1,0,1
909,0.0,34.0,2015.0,35.0,28.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,120.6,0.0,3.0,0,0.0,2,0,1,7.0,0,0,0,0,1
946,0.0,11.0,2015.0,36.0,30.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,103.5,1.0,4.0,0,0.0,2,0,1,7.0,0,0,0,0,1
975,0.0,28.0,2015.0,36.0,31.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,98.0,0.0,2.0,0,0.0,2,0,1,7.0,0,0,0,0,2
985,1.0,38.0,2015.0,36.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,123.0,0.0,0.0,2,2.0,2,1,1,8.0,0,0,3,1,1
1118,1.0,26.0,2015.0,37.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,242.0,0.0,198.0,0.0,2.0,5,5.0,2,1,1,8.0,0,0,0,0,1
1133,0.0,69.0,2015.0,37.0,6.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,113.0,1.0,3.0,3,6.0,2,0,1,8.0,0,0,0,0,1
1149,0.0,2.0,2015.0,37.0,7.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,240.0,0.0,188.0,0.0,2.0,0,0.0,2,0,1,8.0,1,0,0,0,1
1188,1.0,159.0,2015.0,37.0,9.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,82.0,0.0,2.0,0,0.0,3,1,1,8.0,0,0,0,0,1
1208,0.0,12.0,2015.0,37.0,10.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0,0.0,75.46,0.0,2.0,0,0.0,2,0,1,8.0,0,0,0,0,2
1273,0.0,83.0,2015.0,38.0,13.0,4.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,105.0,0.0,1.0,4,4.0,2,0,1,8.0,0,0,3,1,1
1365,0.0,71.0,2015.0,38.0,18.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,196.0,0.0,99.5,0.0,2.0,3,3.0,2,0,1,8.0,1,0,1,0,2
1576,0.0,51.0,2015.0,40.0,30.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,100.33,1.0,2.0,3,4.0,2,0,1,8.0,1,0,0,0,1
1707,0.0,14.0,2015.0,41.0,5.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,241.0,0.0,83.6,0.0,2.0,2,2.0,2,0,1,9.0,0,0,0,0,0
1790,0.0,77.0,2015.0,41.0,9.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,56.0,1.0,2.0,0,0.0,0,0,1,9.0,0,0,3,1,1
2251,0.0,13.0,2015.0,44.0,30.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,76.0,0.0,3.0,4,4.0,2,0,1,9.0,0,0,0,0,1
2349,0.0,20.0,2015.0,45.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,0.0,29.0,0.0,1.0,0,3.0,2,0,1,10.0,0,0,1,0,2
2350,0.0,20.0,2015.0,45.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,0.0,29.0,0.0,1.0,0,3.0,2,0,1,10.0,0,0,1,0,2
2421,0.0,25.0,2015.0,45.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,321.0,0.0,30.0,1.0,1.0,0,4.0,2,0,1,10.0,0,0,1,0,1
2423,1.0,30.0,2015.0,45.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,40.5,0.0,0.0,4,4.0,2,1,1,10.0,0,0,1,0,1
2426,1.0,30.0,2015.0,45.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,40.5,0.0,0.0,4,4.0,2,1,1,10.0,0,0,1,0,1
2596,1.0,80.0,2015.0,47.0,16.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,32.4,0.0,3.0,0,0.0,2,1,1,10.0,0,0,0,0,1
2600,0.0,0.0,2015.0,47.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,1.0,1.0,0,4.0,2,0,1,10.0,0,0,1,0,1
2705,0.0,44.0,2015.0,47.0,21.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,73.5,1.0,3.0,0,4.0,2,0,1,10.0,1,0,0,0,1
2810,1.0,54.0,2015.0,49.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,39.1,0.0,1.0,3,3.0,2,1,1,11.0,0,0,3,1,1
3002,1.0,113.0,2015.0,51.0,19.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,66.0,0.0,1.0,0,0.0,2,1,1,11.0,0,0,0,0,1
3070,0.0,155.0,2015.0,52.0,24.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,47.6,0.0,3.0,2,2.0,3,0,1,11.0,0,0,3,1,0
3113,0.0,93.0,2015.0,52.0,26.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,48.42,0.0,1.0,0,0.0,2,0,1,11.0,0,0,0,0,1
3358,1.0,185.0,2016.0,5.0,28.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,32.4,0.0,3.0,0,0.0,2,1,1,0.0,0,0,0,0,1
4139,1.0,63.0,2016.0,13.0,24.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,74.0,0.0,2.0,3,3.0,2,1,1,2.0,0,0,0,0,1
4487,1.0,52.0,2016.0,16.0,11.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,120.0,0.0,0.0,4,4.0,2,1,1,3.0,1,0,0,0,1
4689,1.0,56.0,2016.0,17.0,19.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,118.0,0.0,0.0,6,6.0,2,1,1,3.0,0,0,0,0,1
4936,1.0,116.0,2016.0,18.0,29.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,120.33,0.0,2.0,4,4.0,2,1,1,3.0,1,0,0,0,1
5020,0.0,171.0,2016.0,18.0,30.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,63.4,0.0,1.0,0,0.0,0,0,1,3.0,1,0,1,0,0
5139,1.0,95.0,2016.0,19.0,7.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,58.0,0.0,3.0,0,0.0,2,1,1,4.0,0,0,0,0,1
5284,1.0,117.0,2016.0,20.0,14.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,73.0,0.0,2.0,3,3.0,2,1,1,4.0,0,0,0,0,1
5368,1.0,117.0,2016.0,21.0,15.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,73.0,0.0,3.0,3,3.0,2,1,1,4.0,0,0,0,0,1
5553,1.0,201.0,2016.0,22.0,23.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,63.92,0.0,1.0,3,3.0,2,1,1,4.0,0,0,3,1,1
5660,0.0,264.0,2016.0,22.0,26.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,156.0,0.0,87.46,0.0,3.0,4,4.0,3,0,1,4.0,0,0,1,0,0
5875,1.0,35.0,2016.0,24.0,6.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,117.0,0.0,1.0,0,0.0,2,1,1,5.0,0,0,3,1,1
5878,1.0,94.0,2016.0,24.0,6.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,99.9,0.0,0.0,0,0.0,2,1,1,5.0,0,0,3,1,2
5982,1.0,149.0,2016.0,25.0,12.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,108.9,0.0,2.0,3,3.0,2,1,1,5.0,0,0,0,0,1
6111,1.0,167.0,2016.0,26.0,20.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,72.0,0.0,3.0,0,0.0,2,1,1,5.0,0,0,0,0,1
6219,1.0,116.0,2016.0,27.0,26.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,250.0,0.0,145.88,0.0,0.0,2,2.0,2,1,1,5.0,0,0,3,1,1
6270,1.0,178.0,2016.0,27.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0,0.0,81.0,0.0,1.0,0,0.0,2,1,1,6.0,0,0,0,0,1
6307,1.0,152.0,2016.0,28.0,3.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,121.6,0.0,1.0,3,3.0,2,1,1,6.0,3,0,1,0,1
6309,1.0,265.0,2016.0,28.0,3.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,240.0,0.0,81.0,0.0,2.0,0,0.0,2,1,1,6.0,0,0,0,0,1
6314,1.0,265.0,2016.0,28.0,3.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,240.0,0.0,81.0,0.0,2.0,0,0.0,2,1,1,6.0,0,0,0,0,1
6347,1.0,34.0,2016.0,28.0,6.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,222.0,0.0,2.0,4,4.0,2,1,1,6.0,1,0,0,0,2
6418,1.0,126.0,2016.0,29.0,11.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,151.43,0.0,2.0,0,0.0,2,1,1,6.0,0,0,0,0,2
6486,1.0,66.0,2016.0,29.0,15.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,192.0,0.0,1.0,0,0.0,2,1,1,6.0,1,0,0,0,2
6491,1.0,143.0,2016.0,29.0,15.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,12.0,0.0,0.0,6,6.0,2,1,1,6.0,0,0,0,0,1
18,1.0,126.0,2016.0,29.0,11.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,151.43,0.0,2.0,0,0.0,2,1,1,6.0,0,0,0,0,2
86,1.0,66.0,2016.0,29.0,15.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,192.0,0.0,1.0,0,0.0,2,1,1,6.0,1,0,0,0,2
91,1.0,143.0,2016.0,29.0,15.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,12.0,0.0,0.0,6,6.0,2,1,1,6.0,0,0,0,0,1
128,1.0,137.0,2016.0,30.0,17.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,0.0,0.0,2,2.0,2,1,1,6.0,4,0,3,1,1
156,1.0,224.0,2016.0,30.0,18.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,242.0,0.0,187.2,0.0,2.0,2,2.0,2,1,1,6.0,1,0,0,0,1
228,1.0,51.0,2016.0,30.0,23.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,226.0,0.0,1.0,3,3.0,2,1,1,6.0,1,0,0,0,2
273,1.0,262.0,2016.0,31.0,25.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,240.0,0.0,8.0,0.0,2.0,0,2.0,2,1,1,6.0,0,0,0,0,1
290,1.0,110.0,2016.0,31.0,26.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,180.0,0.0,0.0,3,3.0,2,1,1,6.0,0,0,0,0,2
332,1.0,191.0,2016.0,31.0,29.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,140.0,0.0,1.0,0,0.0,2,1,1,6.0,0,0,0,0,1
351,1.0,142.0,2016.0,31.0,30.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,292.0,0.0,0.0,2,2.0,2,1,1,6.0,3,0,3,1,1
363,1.0,16.0,2016.0,32.0,31.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,253.57,0.0,2.0,2,2.0,2,1,1,6.0,0,0,3,1,2
384,1.0,167.0,2016.0,32.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,192.0,0.0,0.0,0,0.0,2,1,1,7.0,1,0,0,0,1
403,1.0,127.0,2016.0,32.0,1.0,5.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,191.0,0.0,1.0,0,0.0,2,1,1,7.0,0,0,0,0,2
415,1.0,36.0,2016.0,32.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,244.5,0.0,0.0,2,2.0,2,1,1,7.0,0,0,3,1,1
441,1.0,157.0,2016.0,32.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,230.0,0.0,1.0,3,3.0,2,1,1,7.0,1,0,0,0,1
473,1.0,33.0,2016.0,32.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,209.0,0.0,1.0,0,0.0,2,1,1,7.0,0,0,0,0,2
513,1.0,236.0,2016.0,33.0,8.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,138.0,0.0,2.0,0,0.0,2,1,1,7.0,0,0,0,0,1
656,1.0,85.0,2016.0,34.0,14.0,4.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,0.0,217.14,0.0,1.0,2,2.0,3,1,1,7.0,0,0,3,1,0
698,1.0,10.0,2016.0,34.0,16.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,229.0,0.0,3.0,3,3.0,2,1,1,7.0,0,0,0,0,2
790,1.0,131.0,2016.0,34.0,20.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,143.2,0.0,0.0,0,0.0,2,1,1,7.0,0,0,0,0,1
819,1.0,223.0,2016.0,35.0,22.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,126.0,0.0,2.0,0,0.0,2,1,1,7.0,0,0,0,0,1
828,1.0,144.0,2016.0,35.0,22.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,200.57,0.0,0.0,0,0.0,2,1,1,7.0,1,0,0,0,1
962,1.0,187.0,2016.0,36.0,30.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,149.33,0.0,2.0,3,3.0,2,1,1,7.0,0,0,0,0,1
984,1.0,41.0,2016.0,36.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,234.0,0.0,3.0,6,6.0,2,1,1,8.0,0,0,0,0,0
987,1.0,144.0,2016.0,36.0,1.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,151.0,0.0,1.0,0,0.0,2,1,1,8.0,0,0,0,0,2
996,1.0,345.0,2016.0,36.0,1.0,2.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,240.0,0.0,145.0,0.0,1.0,6,6.0,2,1,1,8.0,0,0,0,0,1
1073,0.0,304.0,2016.0,37.0,5.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,81.0,0.0,2.0,0,0.0,2,0,1,8.0,0,0,0,0,1
1191,1.0,75.0,2016.0,38.0,11.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,117.73,0.0,0.0,0,0.0,2,1,1,8.0,0,0,0,0,2
1192,1.0,75.0,2016.0,38.0,11.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,240.0,0.0,117.73,0.0,0.0,0,0.0,2,1,1,8.0,0,0,0,0,2
1195,1.0,75.0,2016.0,38.0,11.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,240.0,0.0,190.67,0.0,0.0,7,7.0,2,1,1,8.0,0,0,0,0,2
1196,1.0,53.0,2016.0,38.0,11.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,159.75,0.0,1.0,0,0.0,2,1,1,8.0,1,0,0,0,1
1222,0.0,422.0,2016.0,38.0,12.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,62.9,0.0,2.0,3,3.0,0,0,1,8.0,0,0,1,0,0
1225,1.0,257.0,2016.0,38.0,12.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,143.0,0.0,1.0,0,0.0,2,1,1,8.0,0,0,0,0,1
